date,section_id,rainfall,evaporation,runoff_measured,runoff_natural
201301,Zhuozishan,1.53,15.08,0,29.853
201302,Zhuozishan,0,33.99,0,29.849
201303,Zhuozishan,0.45,82.51,0,29.844
201304,Zhuozishan,1.79,134.01,0,29.839
201305,Zhuozishan,14.68,194.23,0,29.834
201306,Zhuozishan,58.04,179.17,1.04,41.926
201307,Zhuozishan,136.618,153.32,252.31,234.729
201308,Zhuozishan,113.975,153.39,218.02,207.988
201309,Zhuozishan,111.962,113.09,185.07,188.472
201310,Zhuozishan,34.257,80.82,171.42,34.449
201311,Zhuozishan,7.59,35.16,83.2,29.635
201312,Zhuozishan,0.24,18.5,0,29.63
201401,Zhuozishan,0,25.88,0,29.625
201402,Zhuozishan,7.34,23.33,0,29.62
201403,Zhuozishan,0,86.03,0.54,29.616
201404,Zhuozishan,19.22,127.28,11.4,29.611
201405,Zhuozishan,30.12,199.72,8.04,29.606
201406,Zhuozishan,50.77,172.99,8.04,30.76
201407,Zhuozishan,60.69,165.13,10.45,45.645
201408,Zhuozishan,43.89,135.4,13.66,29.512
201409,Zhuozishan,33.92,93.8,11.66,29.508
201410,Zhuozishan,30.51,71.98,5.09,29.503
201411,Zhuozishan,0.85,32.05,2.59,29.498
201412,Zhuozishan,0.04,22.06,0,29.493
201501,Zhuozishan,1.94,20.24,0,29.489
201502,Zhuozishan,6.05,29.03,0,29.484
201503,Zhuozishan,0.02,79.3,0.8,29.479
201504,Zhuozishan,24.71,118.65,14,29.475
201505,Zhuozishan,5.03,195.94,11.25,29.47
201506,Zhuozishan,26.44,160.63,8.55,29.465
201507,Zhuozishan,128.253,180.74,342.84,409.329
201508,Zhuozishan,35.34,178.3,73.92,29.429
201509,Zhuozishan,54.472,103.79,9.07,29.425
201510,Zhuozishan,10.94,81.75,8.57,29.42
201511,Zhuozishan,24.66,19.24,2.59,29.415
201512,Zhuozishan,0.74,15.47,0,29.411
201601,Zhuozishan,0.45,15.48,0,29.406
201602,Zhuozishan,5.07,28.42,0,29.401
201603,Zhuozishan,0.43,73.83,20.36,29.397
201604,Zhuozishan,0.4,151.28,13.74,29.392
201605,Zhuozishan,13.15,189.35,12.86,29.387
201606,Zhuozishan,51.83,146.56,26.44,32.139
201607,Zhuozishan,88.646,151.04,163.11,129.455
201608,Zhuozishan,81.24,148.9,25.18,87.979
201609,Zhuozishan,30.45,103.57,20.74,29.257
201610,Zhuozishan,29.45,71.26,23.3,29.253
201611,Zhuozishan,1.02,34.63,11.4,29.248
201612,Zhuozishan,1.74,21.94,0,29.243
201701,Zhuozishan,0.72,21.25,0,29.239
201702,Zhuozishan,12.57,28.75,0,29.234
201703,Zhuozishan,16.53,53.82,24.64,29.229
201704,Zhuozishan,0.45,135.02,51.32,29.224
201705,Zhuozishan,26.52,187.6,18.48,29.22
201706,Zhuozishan,54.28,176.48,8.55,35.663
201707,Zhuozishan,75.501,175.38,12.05,51.725
201708,Zhuozishan,62.18,147.12,12.86,47.478
201709,Zhuozishan,26.56,127.06,15.55,29.085
201710,Zhuozishan,28.71,73.62,14.2,29.08
201711,Zhuozishan,0.05,43.18,4.41,29.075
201712,Zhuozishan,0.02,23.31,0,29.071
201801,Zhuozishan,1.74,18.87,0,29.066
201802,Zhuozishan,0.12,32.5,0,29.061
201803,Zhuozishan,3.33,92.37,13.66,29.057
201804,Zhuozishan,24.72,146,9.59,29.052
201805,Zhuozishan,43.09,186.13,10.98,29.048
201806,Zhuozishan,5.95,208.17,5.7,29.043
201807,Zhuozishan,138.116,143.6,116.78,123.396
201808,Zhuozishan,74.16,146.06,69.1,65.409
201809,Zhuozishan,53.611,122.58,17.88,28.958
201810,Zhuozishan,6.69,110.57,8.57,28.953
201811,Zhuozishan,3.46,32.6,2.33,28.948
201812,Zhuozishan,0.28,19.3,0,28.944
201901,Zhuozishan,0,18.19,0,28.939
201902,Zhuozishan,3.27,29.49,0,28.934
201903,Zhuozishan,3.79,79.03,7.23,28.93
201904,Zhuozishan,19.1,135.81,14.26,28.925
201905,Zhuozishan,10.69,169.13,15,28.921
201906,Zhuozishan,54.87,197.88,18.92,36.257
201907,Zhuozishan,55.52,138.81,21.7,37.193
201908,Zhuozishan,70.484,128.71,20.36,30.547
201909,Zhuozishan,54.709,137.14,12.96,28.785
201910,Zhuozishan,8.41,117.02,8.84,28.78
