date,section_id,domestic,industrial,agricultural,ecological,transfer
201301,Zhuozishan,7.01,6.68,0,0,0
201302,Zhuozishan,7.01,6.68,46.63,0,0
201303,Zhuozishan,7.01,6.68,0,0,0
201304,Zhuozishan,7.01,6.68,46.63,0,0
201305,Zhuozishan,7.01,6.68,0,0,0
201306,Zhuozishan,7.01,6.68,93.28,0,0
201307,Zhuozishan,7.01,6.68,0,0,0
201308,Zhuozishan,7.01,6.68,93.28,0,0
201309,Zhuozishan,7.01,6.68,0,0,0
201310,Zhuozishan,7.01,6.68,93.28,0,0
201311,Zhuozishan,7.01,6.68,0,0,0
201312,Zhuozishan,7.01,6.68,0,0,0
201401,Zhuozishan,6.84,7.92,0,0,0
201402,Zhuozishan,6.84,7.92,53.27,0,0
201403,Zhuozishan,6.84,7.92,0,0,0
201404,Zhuozishan,6.84,7.92,53.27,0,0
201405,Zhuozishan,6.84,7.92,0,0,0
201406,Zhuozishan,6.84,7.92,106.57,0,0
201407,Zhuozishan,6.84,7.92,0,0,0
201408,Zhuozishan,6.84,7.92,106.57,0,0
201409,Zhuozishan,6.84,7.92,0,0,0
201410,Zhuozishan,6.84,7.92,106.57,0,0
201411,Zhuozishan,6.84,7.92,0,0,0
201412,Zhuozishan,6.84,7.92,0,0,0
201501,Zhuozishan,7.04,6.66,0,0.23,0
201502,Zhuozishan,7.04,6.66,59.59,0.23,0
201503,Zhuozishan,7.04,6.66,0,0.23,0
201504,Zhuozishan,7.04,6.66,59.59,0.23,0
201505,Zhuozishan,7.04,6.66,0,0.23,0
201506,Zhuozishan,7.04,6.66,119.18,0.23,0
201507,Zhuozishan,7.04,6.66,0,0.23,0
201508,Zhuozishan,7.04,6.66,119.18,0.23,0
201509,Zhuozishan,7.04,6.66,0,0.23,0
201510,Zhuozishan,7.04,6.66,119.18,0.23,0
201511,Zhuozishan,7.04,6.66,0,0.23,0
201512,Zhuozishan,7.04,6.66,0,0.23,0
201601,Zhuozishan,6.1,6.28,0,0.14,0
201602,Zhuozishan,6.1,6.28,63.67,0.14,0
201603,Zhuozishan,6.1,6.28,0,0.14,0
201604,Zhuozishan,6.1,6.28,63.67,0.14,0
201605,Zhuozishan,6.1,6.28,0,0.14,0
201606,Zhuozishan,6.1,6.28,127.35,0.14,0
201607,Zhuozishan,6.1,6.28,0,0.14,0
201608,Zhuozishan,6.1,6.28,127.35,0.14,0
201609,Zhuozishan,6.1,6.28,0,0.14,0
201610,Zhuozishan,6.1,6.28,127.35,0.14,0
201611,Zhuozishan,6.1,6.28,0,0.14,0
201612,Zhuozishan,6.1,6.28,0,0.14,0
201701,Zhuozishan,7.1,4.21,0,1.36,0
201702,Zhuozishan,7.1,4.21,59.43,1.36,0
201703,Zhuozishan,7.1,4.21,0,1.36,0
201704,Zhuozishan,7.1,4.21,59.43,1.36,0
201705,Zhuozishan,7.1,4.21,0,1.36,0
201706,Zhuozishan,7.1,4.21,118.87,1.36,0
201707,Zhuozishan,7.1,4.21,0,1.36,0
201708,Zhuozishan,7.1,4.21,118.87,1.36,0
201709,Zhuozishan,7.1,4.21,0,1.36,0
201710,Zhuozishan,7.1,4.21,118.87,1.36,0
201711,Zhuozishan,7.1,4.21,0,1.36,0
201712,Zhuozishan,7.1,4.21,0,1.36,0
201801,Zhuozishan,7.69,5.91,0,0.35,0
201802,Zhuozishan,7.69,5.91,58.66,0.35,0
201803,Zhuozishan,7.69,5.91,0,0.35,0
201804,Zhuozishan,7.69,5.91,58.66,0.35,0
201805,Zhuozishan,7.69,5.91,0,0.35,0
201806,Zhuozishan,7.69,5.91,117.29,0.35,0
201807,Zhuozishan,7.69,5.91,0,0.35,0
201808,Zhuozishan,7.69,5.91,117.29,0.35,0
201809,Zhuozishan,7.69,5.91,0,0.35,0
201810,Zhuozishan,7.69,5.91,117.29,0.35,0
201811,Zhuozishan,7.69,5.91,0,0.35,0
201812,Zhuozishan,7.69,5.91,0,0.35,0
201901,Zhuozishan,6.43,4.82,0,0.34,0
201902,Zhuozishan,6.43,4.82,58.04,0.34,0
201903,Zhuozishan,6.43,4.82,0,0.34,0
201904,Zhuozishan,6.43,4.82,58.04,0.34,0
201905,Zhuozishan,6.43,4.82,0,0.34,0
201906,Zhuozishan,6.43,4.82,116.09,0.34,0
201907,Zhuozishan,6.43,4.82,0,0.34,0
201908,Zhuozishan,6.43,4.82,116.09,0.34,0
201909,Zhuozishan,6.43,4.82,0,0.34,0
201910,Zhuozishan,6.43,4.82,116.09,0.34,0
201911,Zhuozishan,6.43,4.82,0,0.34,0
